system:index,aspecto_deg,depresion_rocio_verano_c,elev_m,fire_label,nbr_verano,ndvi_verano,ndwi_verano,pendiente_deg,precip_verano_mm,tmax_verano_c,viento10m_verano_max_ms,year,.geo
0,178,6.0478333822625245,1344,0,0.37643743,0.6216232,0.12227155,3,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.939485569823304,42.30615830560887]}"
1,157,6.0478333822625245,1319,0,0.51726156,0.70478946,0.26647887,4,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.930502416982109,42.30615830560887]}"
2,234,6.0478333822625245,1305,0,0.55683976,0.76408666,0.2934808,4,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.921519264140914,42.30615830560887]}"
3,246,6.0478333822625245,1398,0,0.5271382,0.7219838,0.2917482,6,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.912536111299718,42.30615830560887]}"
4,201,6.0478333822625245,1449,0,0.41567567,0.665852,0.1730214,4,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.903552958458523,42.30615830560887]}"
5,164,6.0478333822625245,1439,0,0.23363452,0.5430931,9.1207185E-5,3,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.894569805617328,42.30615830560887]}"
6,111,6.0478333822625245,1427,0,0.24463803,0.5577538,0.016226085,5,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.885586652776133,42.30615830560887]}"
7,77,6.0478333822625245,1310,0,0.47972018,0.7489598,0.19557348,11,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.876603499934937,42.30615830560887]}"
8,41,6.0478333822625245,1156,0,0.44525808,0.7290674,0.16739565,11,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.867620347093742,42.30615830560887]}"
9,333,6.0478333822625245,1125,0,0.41165847,0.6901709,0.14711593,8,377.73399325056187,33.2635437011719,4.147746571293283,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.858637194252547,42.30615830560887]}"
10,289,6.245161555686934,1248,0,0.31698957,0.55277777,0.0949211,11,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.849654041411352,42.30615830560887]}"
11,358,6.245161555686934,1403,0,0.28776565,0.533377,0.06601173,3,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.840670888570156,42.30615830560887]}"
12,69,6.245161555686934,1250,0,0.25647807,0.49364993,0.041802943,11,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.831687735728961,42.30615830560887]}"
13,60,6.245161555686934,1141,0,0.3990116,0.6951521,0.123195946,15,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.822704582887766,42.30615830560887]}"
14,22,6.245161555686934,904,0,0.30952212,0.5946532,0.09332875,13,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.813721430046571,42.30615830560887]}"
15,267,6.245161555686934,1009,0,-0.0015263874,0.28587383,-0.08699473,13,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.8047382772053755,42.30615830560887]}"
16,238,6.245161555686934,1247,0,-0.011449428,0.25254902,-0.08314285,18,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.79575512436418,42.30615830560887]}"
17,25,6.245161555686934,1421,0,0.12654594,0.34790823,0.0011961722,4,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.7867719715229855,42.30615830560887]}"
18,22,6.245161555686934,1200,0,0.36372435,0.61557287,0.11047217,6,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.77778881868179,42.30615830560887]}"
19,279,6.245161555686934,1358,0,0.36510906,0.62618095,0.124074735,11,377.2134658877384,32.0428405761719,4.0034666467434326,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.768805665840595,42.30615830560887]}"
